t[s]	AI 0 [V]	AI 1 [V]	AI 2 [V]
-3.1082	-4.78621	-4.58206	-4.95285
-3.108	-4.78577	-4.5817	-4.95318
-3.1078	-4.78551	-4.58154	-4.95321
-3.1076	-4.78517	-4.58138	-4.95291
-3.1074	-4.78494	-4.58148	-4.95268
-3.1072	-4.78472	-4.58189	-4.95232
-3.107	-4.78454	-4.58251	-4.95231
-3.1068	-4.78435	-4.58322	-4.95213
-3.1066	-4.78424	-4.58392	-4.95201
-3.1064	-4.78409	-4.58462	-4.95194
-3.1062	-4.78429	-4.58507	-4.95201
-3.106	-4.78474	-4.58494	-4.95207
-3.1058	-4.78503	-4.58503	-4.95221
-3.1056	-4.78526	-4.58524	-4.95256
-3.1054	-4.78528	-4.58543	-4.95267
-3.1052	-4.78561	-4.58557	-4.95276
-3.105	-4.78621	-4.58568	-4.95267
-3.1048	-4.78686	-4.58581	-4.95232
-3.1046	-4.78761	-4.58592	-4.95182
-3.1044	-4.78811	-4.58593	-4.95148
-3.1042	-4.78856	-4.58563	-4.95095
-3.104	-4.78899	-4.5855	-4.95054
-3.1038	-4.78925	-4.58534	-4.9501
-3.1036	-4.78921	-4.58525	-4.94975
-3.1034	-4.78914	-4.58574	-4.94941
-3.1032	-4.78895	-4.58611	-4.94903
-3.103	-4.78897	-4.58653	-4.94875
-3.1028	-4.78898	-4.58708	-4.94854
-3.1026	-4.78895	-4.5876	-4.94814
-3.1024	-4.78901	-4.58812	-4.94774
-3.1022	-4.78891	-4.58852	-4.94735
-3.102	-4.78886	-4.58902	-4.94736
-3.1018	-4.78893	-4.58932	-4.94746
-3.1016	-4.78907	-4.58962	-4.9477
-3.1014	-4.78901	-4.58971	-4.94795
-3.1012	-4.78918	-4.58986	-4.94811
-3.101	-4.7897	-4.58972	-4.94828
-3.1008	-4.79051	-4.58933	-4.9485
-3.1006	-4.79079	-4.58883	-4.94837
-3.1004	-4.79075	-4.5884	-4.9484
-3.1002	-4.79051	-4.58798	-4.94854
-3.1	-4.79021	-4.5877	-4.94897
-3.0998	-4.78996	-4.58735	-4.94958
-3.0996	-4.78996	-4.58696	-4.95006
-3.0994	-4.78988	-4.5866	-4.95046
-3.0992	-4.78986	-4.58624	-4.95097
-3.099	-4.78972	-4.58575	-4.95134
-3.0988	-4.78973	-4.58531	-4.95171
-3.0986	-4.7896	-4.5849	-4.95201
-3.0984	-4.78911	-4.58483	-4.95239
-3.0982	-4.78857	-4.58508	-4.95269
-3.098	-4.78814	-4.58506	-4.95302
-3.0978	-4.78788	-4.58516	-4.95342
-3.0976	-4.78759	-4.58525	-4.95373
-3.0974	-4.7875	-4.58532	-4.95403
-3.0972	-4.78728	-4.58525	-4.95437
-3.097	-4.78701	-4.585	-4.95475
-3.0968	-4.78678	-4.58492	-4.95522
-3.0966	-4.7867	-4.58482	-4.95578
-3.0964	-4.7866	-4.58498	-4.95603
-3.0962	-4.78631	-4.58512	-4.95612
-3.096	-4.78639	-4.58538	-4.95602
-3.0958	-4.78697	-4.5855	-4.95576
-3.0956	-4.78781	-4.58559	-4.95526
-3.0954	-4.78863	-4.58572	-4.9544
-3.0952	-4.78948	-4.58579	-4.95367
-3.095	-4.79023	-4.58568	-4.95285
-3.0948	-4.79084	-4.5858	-4.95221
-3.0946	-4.79134	-4.58598	-4.95182
-3.0944	-4.7918	-4.58606	-4.95122
-3.0942	-4.79205	-4.58603	-4.95072
-3.094	-4.79247	-4.58587	-4.95023
-3.0938	-4.79281	-4.58585	-4.94967
-3.0936	-4.79312	-4.58563	-4.94931
-3.0934	-4.79309	-4.58555	-4.94909
-3.0932	-4.79268	-4.58573	-4.94876
-3.093	-4.7925	-4.58602	-4.94841
-3.0928	-4.79224	-4.58638	-4.94815
-3.0926	-4.79214	-4.5868	-4.9478
-3.0924	-4.79199	-4.58725	-4.94751
-3.0922	-4.792	-4.58761	-4.94717
-3.092	-4.79212	-4.58808	-4.94693
-3.0918	-4.79212	-4.58858	-4.94646
-3.0916	-4.79231	-4.58913	-4.94609
